amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subtraction_induced;subtraction_evoked;subjects;condition;time;RDK_id;RDK_position1;RDK_position2;RDK_freq;RDK_color;RDK_colorlum;RDK_ispresented;RDK_isattended;RDK_isattended2;RDK_electrodes
2.92414704958598;1.04312795897325;0;0;0;0;1;1;[-1 0] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'O1' 'I1' 'Oz' 'Iz' 'O2' 'I2'}
3.8029247045517;2.23271404008071;0;0;0;0;1;1;[-1 0] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'O1' 'I1' 'Oz' 'Iz' 'O2' 'I2'}
4.013197016716;0.893939933180809;0;0;0;0;1;1;[-1 0] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;attended;attended + not attended;{'PO7' 'O2' 'Oz' 'POz'}
4.97292084693909;1.53620123267174;0;0;0;0;1;1;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + attended;{'PO7' 'O2' 'Oz' 'POz'}
3.46478241682053;0.578744255751371;0;0;0;0;1;1;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'PO7' 'O2' 'Oz' 'POz'}
2.91713949839274;1.00866029560566;0;0;0;0;1;2;[-1 0] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'O1' 'I1' 'Oz' 'Iz' 'O2' 'I2'}
3.7842946767807;2.17881877770027;0;0;0;0;1;2;[-1 0] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'O1' 'I1' 'Oz' 'Iz' 'O2' 'I2'}
4.3775071978569;0.366888736188412;0;0;0;0;1;2;[-1 0] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;not attended;not attended + attended;{'PO7' 'O2' 'Oz' 'POz'}
5.07443091869354;1.14075998365879;0;0;0;0;1;2;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;attended;attended + not attended;{'PO7' 'O2' 'Oz' 'POz'}
3.53208782672882;0.464324434101582;0;0;0;0;1;2;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'PO7' 'O2' 'Oz' 'POz'}
2.7574342807134;0.971254995465279;0;0;0;0;1;3;[-1 0] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'O1' 'I1' 'Oz' 'Iz' 'O2' 'I2'}
3.8267066081365;2.17242880860964;0;0;0;0;1;3;[-1 0] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'O1' 'I1' 'Oz' 'Iz' 'O2' 'I2'}
4.00024775266647;0.673587828874588;0;0;0;0;1;3;[-1 0] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;attended;attended + irrelevant;{'PO7' 'O2' 'Oz' 'POz'}
4.83731250762939;0.490965151414275;0;0;0;0;1;3;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;not presented;not attended;not attended;{'PO7' 'O2' 'Oz' 'POz'}
3.54966090917587;0.429426165670156;0;0;0;0;1;3;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + attended;{'PO7' 'O2' 'Oz' 'POz'}
2.83507758776347;1.11635046601295;0;0;0;0;1;4;[-1 0] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'O1' 'I1' 'Oz' 'Iz' 'O2' 'I2'}
3.92252706686656;2.35748646557331;0;0;0;0;1;4;[-1 0] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'O1' 'I1' 'Oz' 'Iz' 'O2' 'I2'}
