amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subjects;condition;time;RDK_id;RDK_position1;RDK_position2;RDK_freq;RDK_color;RDK_ispresented;RDK_isattended;RDK_isattended2;RDK_electrodes
3.28931728363037;1.73628880739212;0;0;22;1;[-1 0] ;RDK1;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
5.14186786651611;3.77371767282486;0;0;22;1;[-1 0] ;RDK2;center;center;23;redish;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
5.18252608992837;2.43763581622731;0;0;22;1;[-1 0] ;RDK3;left;peri;17;blue;presented;attended;attended + not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.73377019708807;0.948027898506685;0;0;22;1;[-1 0] ;RDK4;left;peri;20;redish;presented;not attended;not attended + attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
5.98782020915638;0.447844858332114;0;0;22;1;[-1 0] ;RDK5;left;peri;14;green;not presented;irrelevant;irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.16552140235901;1.32979125261307;0;0;22;2;[-1 0] ;RDK1;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
5.01719765663147;3.59768637418747;0;0;22;2;[-1 0] ;RDK2;center;center;23;redish;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
5.06736614487388;2.68137449838898;0;0;22;2;[-1 0] ;RDK3;left;peri;17;blue;presented;not attended;not attended + attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.91886172728105;0.74469855373556;0;0;22;2;[-1 0] ;RDK4;left;peri;20;redish;presented;attended;attended + not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
5.68630857034163;0.780203167552298;0;0;22;2;[-1 0] ;RDK5;left;peri;14;green;not presented;irrelevant;irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.09959696769714;1.41191672086716;0;0;22;3;[-1 0] ;RDK1;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
5.10949686050415;3.68554680585861;0;0;22;3;[-1 0] ;RDK2;center;center;23;redish;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
5.17949675213207;2.36603960557417;0;0;22;3;[-1 0] ;RDK3;left;peri;17;blue;presented;attended;attended + irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.83254642920061;0.685706239938736;0;0;22;3;[-1 0] ;RDK4;left;peri;20;redish;not presented;not attended;not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
5.67005900469693;0.799276715889573;0;0;22;3;[-1 0] ;RDK5;left;peri;14;green;presented;irrelevant;irrelevant + attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.14329883575439;1.43908494710922;0;0;22;4;[-1 0] ;RDK1;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
5.22114090919495;3.94790552139282;0;0;22;4;[-1 0] ;RDK2;center;center;23;redish;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
4.83342834819447;0.384733229807832;0;0;22;4;[-1 0] ;RDK3;left;peri;17;blue;not presented;not attended;not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.8648728760806;0.863782096518712;0;0;22;4;[-1 0] ;RDK4;left;peri;20;redish;presented;attended;attended + irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
6.27213600332087;1.20948741436005;0;0;22;4;[-1 0] ;RDK5;left;peri;14;green;presented;irrelevant;irrelevant + attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.07058116912842;1.40059755563736;0;0;22;5;[-1 0] ;RDK1;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
5.17147318840027;3.79692091464996;0;0;22;5;[-1 0] ;RDK2;center;center;23;redish;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
4.4128201528029;0.320802795480598;0;0;22;5;[-1 0] ;RDK3;left;peri;17;blue;not presented;attended;attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.81068637154319;0.695175979896025;0;0;22;5;[-1 0] ;RDK4;left;peri;20;redish;presented;not attended;not attended + irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
6.30710013996471;1.25196936347268;0;0;22;5;[-1 0] ;RDK5;left;peri;14;green;presented;irrelevant;irrelevant + not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.10964467048645;1.43091411828995;0;0;22;6;[-1 0] ;RDK1;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
5.09113507270813;3.63397212028503;0;0;22;6;[-1 0] ;RDK2;center;center;23;redish;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
5.41366518194025;2.36110465932976;0;0;22;6;[-1 0] ;RDK3;left;peri;17;blue;presented;not attended;not attended + irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.70503462878141;0.566029255769469;0;0;22;6;[-1 0] ;RDK4;left;peri;20;redish;not presented;attended;attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
6.08558503064242;0.753520819815722;0;0;22;6;[-1 0] ;RDK5;left;peri;14;green;presented;irrelevant;irrelevant + not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.31429300308228;1.94956011772156;0.759297972749495;12.2831702549398;22;1;[0.5 1.5] ;RDK1;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
4.32736450195312;2.99082395076752;-15.8406125110107;-20.7459537234352;22;1;[0.5 1.5] ;RDK2;center;center;23;redish;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
4.53407875407826;2.17925097346306;-12.5121866170687;-10.5998131896563;22;1;[0.5 1.5] ;RDK3;left;peri;17;blue;presented;attended;attended + not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.55836108381098;0.770067385109988;-4.69790865581092;-18.7716536271788;22;1;[0.5 1.5] ;RDK4;left;peri;20;redish;presented;not attended;not attended + attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
4.99459687146274;0.965018625151027;-16.5873941267449;115.480563681137;22;1;[0.5 1.5] ;RDK5;left;peri;14;green;not presented;irrelevant;irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
2.97104012489319;0.97968608751893;-6.14373598361676;-26.3278288533011;22;2;[0.5 1.5] ;RDK1;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
5.57601648330688;4.49557169914246;11.1380668038222;24.9572984292655;22;2;[0.5 1.5] ;RDK2;center;center;23;redish;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
4.48584768555381;1.91502951004288;-11.4757537287557;-28.580304198706;22;2;[0.5 1.5] ;RDK3;left;peri;17;blue;presented;not attended;not attended + attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.62711950215426;1.00380306569013;-7.44456542306229;34.793207352807;22;2;[0.5 1.5] ;RDK4;left;peri;20;redish;presented;attended;attended + not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
