amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subjects;condition;time;RDK_id;RDK_position1;RDK_position2;RDK_freq;RDK_color;RDK_colorlum;RDK_ispresented;RDK_isattended;RDK_isattended2;RDK_electrodes
2.78250896930695;1.46489989757538;0;0;1;1;[-1 0] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
4.49982552528381;3.7211138010025;0;0;1;1;[-1 0] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
3.96387682755788;0.79458737274011;0;0;1;1;[-1 0] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;attended;attended + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.87509516874949;1.26623930732409;0;0;1;1;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.42955573399862;0.578069941699505;0;0;1;1;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.75713715553284;1.36838794350624;0;0;1;2;[-1 0] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
4.33288042545319;3.48413119316101;0;0;1;2;[-1 0] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
4.32873836358388;0.423694199323654;0;0;1;2;[-1 0] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;not attended;not attended + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.89360821247101;1.06444493730863;0;0;1;2;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;attended;attended + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.4716082572937;0.380846717456977;0;0;1;2;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.66809859275818;1.40389674901962;0;0;1;3;[-1 0] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
4.42678201198578;3.51318938732147;0;0;1;3;[-1 0] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
3.95422486464183;0.6023224512736;0;0;1;3;[-1 0] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;attended;attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.7953405380249;0.510646072775126;0;0;1;3;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;not presented;not attended;not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.55534498691559;0.350720675289631;0;0;1;3;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.65706877708435;1.47364692091942;0;0;1;4;[-1 0] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
4.69176268577576;3.93848695755005;0;0;1;4;[-1 0] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
3.94530508518219;0.389786308010419;0;0;1;4;[-1 0] ;RDK3;right;peri;20;green;offset_to_bckgrd;not presented;not attended;not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
5.07895526885986;1.47863117953142;0;0;1;4;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;attended;attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.57622446219126;0.551585656404495;0;0;1;4;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.65946981906891;1.31365109682083;0;0;1;5;[-1 0] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
4.64211459159851;3.77041344642639;0;0;1;5;[-1 0] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
3.91086046695709;0.339895265797774;0;0;1;5;[-1 0] ;RDK3;right;peri;20;green;offset_to_bckgrd;not presented;attended;attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.93591301441193;1.52822089592616;0;0;1;5;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.47608504295349;0.787751617034276;0;0;1;5;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.76342217922211;1.6827615737915;0;0;1;6;[-1 0] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz'}
4.33366589546204;3.65401604175568;0;0;1;6;[-1 0] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz'}
4.08771794637044;0.68249273498853;0;0;1;6;[-1 0] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;not attended;not attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.55776240030924;0.616841630637646;0;0;1;6;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;not presented;attended;attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.56364018917084;0.340358044703801;0;0;1;6;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
