participant,trialnumber,blocknumber,condition,eventtype,RDKnumber,eventcolor,eventfrequency,eventnumber,response,RT,colorlum
1,1,1,1,distractor,2,blue,26,1,CR,NaN,offset_to_bckgrd
1,4,1,2,distractor,1,green,29,1,FA_proper,480.324840545654,offset_to_bckgrd
1,5,1,3,distractor,2,blue,26,1,CR,NaN,offset_to_bckgrd
1,7,1,5,target,1,green,29,1,hit,691.068442662557,offset_to_bckgrd
1,7,1,5,target,1,green,29,2,hit,498.630730311076,offset_to_bckgrd
1,10,1,3,target,1,green,29,1,hit,476.734749476115,offset_to_bckgrd
1,10,1,3,target,1,green,29,2,hit,597.076177597046,offset_to_bckgrd
1,11,1,2,distractor,1,green,29,1,FA_proper,433.077319463094,offset_to_bckgrd
1,11,1,2,target,2,blue,26,2,hit,479.985316594441,offset_to_bckgrd
1,15,1,4,target,2,blue,26,1,hit,401.867008209229,offset_to_bckgrd
1,15,1,4,distractor,1,green,29,2,CR,NaN,offset_to_bckgrd
1,31,1,4,distractor,1,green,29,1,FA_proper,463.471714655558,offset_to_bckgrd
1,31,1,4,target,2,blue,26,2,hit,503.143072128296,offset_to_bckgrd
1,38,1,3,target,1,green,29,1,hit,358.526945114136,offset_to_bckgrd
1,38,1,3,distractor,2,blue,26,2,CR,NaN,offset_to_bckgrd
1,39,1,4,distractor,1,green,29,1,CR,NaN,offset_to_bckgrd
1,40,1,4,distractor,1,green,29,1,FA_proper,416.284942626953,offset_to_bckgrd
1,40,1,4,target,2,blue,26,2,hit,566.797192891439,offset_to_bckgrd
1,45,1,6,distractor,1,green,29,1,CR,NaN,offset_to_bckgrd
1,45,1,6,distractor,1,green,29,2,FA_proper,696.949640909831,offset_to_bckgrd
1,50,2,5,distractor,2,blue,26,1,CR,NaN,offset_to_bckgrd
1,53,2,4,distractor,1,green,29,1,CR,NaN,offset_to_bckgrd
1,55,2,3,target,1,green,29,1,hit,640.602334340414,offset_to_bckgrd
1,55,2,3,distractor,2,blue,26,2,CR,NaN,offset_to_bckgrd
1,56,2,5,target,1,green,29,1,hit,476.217301686605,offset_to_bckgrd
1,66,2,2,target,2,blue,26,1,hit,488.88274828593,offset_to_bckgrd
1,66,2,2,target,2,blue,26,2,hit,543.922678629557,offset_to_bckgrd
1,70,2,1,distractor,2,blue,26,1,FA_proper,482.762368520101,offset_to_bckgrd
1,70,2,1,distractor,2,blue,26,2,FA_proper,511.127360661825,offset_to_bckgrd
1,71,2,2,distractor,1,green,29,1,CR,NaN,offset_to_bckgrd
1,72,2,4,distractor,1,green,29,1,CR,NaN,offset_to_bckgrd
1,77,2,1,target,1,green,29,1,miss,NaN,offset_to_bckgrd
1,87,2,5,target,1,green,29,1,hit,415.000057220459,offset_to_bckgrd
1,87,2,5,distractor,2,blue,26,2,CR,NaN,offset_to_bckgrd
1,93,3,2,target,2,blue,26,1,hit,659.554274876912,offset_to_bckgrd
1,94,3,1,distractor,2,blue,26,1,CR,NaN,offset_to_bckgrd
1,94,3,1,target,1,green,29,2,hit,518.398952484131,offset_to_bckgrd
1,96,3,6,distractor,1,green,29,1,CR,NaN,offset_to_bckgrd
1,99,3,2,target,2,blue,26,1,hit,410.651556650797,offset_to_bckgrd
1,99,3,2,distractor,1,green,29,2,FA_proper,468.502362569173,offset_to_bckgrd
1,100,3,6,distractor,1,green,29,1,CR,NaN,offset_to_bckgrd
1,101,3,4,distractor,1,green,29,1,FA_proper,432.384872436523,offset_to_bckgrd
1,103,3,3,target,1,green,29,1,hit,576.284519831339,offset_to_bckgrd
1,103,3,3,distractor,2,blue,26,2,CR,NaN,offset_to_bckgrd
1,104,3,1,distractor,2,blue,26,1,FA_proper,573.747746149699,offset_to_bckgrd
1,104,3,1,target,1,green,29,2,hit,565.595372517904,offset_to_bckgrd
1,105,3,2,target,2,blue,26,1,hit,421.326112747193,offset_to_bckgrd
1,111,3,3,distractor,2,blue,26,1,CR,NaN,offset_to_bckgrd
1,111,3,3,distractor,2,blue,26,2,CR,NaN,offset_to_bckgrd
1,117,3,6,distractor,1,green,29,1,CR,NaN,offset_to_bckgrd
1,119,3,6,distractor,1,green,29,1,CR,NaN,offset_to_bckgrd
1,119,3,6,target,2,blue,26,2,hit,425.469700495402,offset_to_bckgrd
1,120,3,1,target,1,green,29,1,hit,572.628752390543,offset_to_bckgrd
1,120,3,1,target,1,green,29,2,hit,499.950710932414,offset_to_bckgrd
1,121,3,1,target,1,green,29,1,hit,473.515669504802,offset_to_bckgrd
1,124,3,1,distractor,2,blue,26,1,CR,NaN,offset_to_bckgrd
1,124,3,1,target,1,green,29,2,hit,497.767114639283,offset_to_bckgrd
1,127,3,5,target,1,green,29,1,hit,464.857053756714,offset_to_bckgrd
1,127,3,5,target,1,green,29,2,hit,455.857038497925,offset_to_bckgrd
1,129,3,6,distractor,1,green,29,1,CR,NaN,offset_to_bckgrd
1,141,4,4,target,2,blue,26,1,hit,521.463886896769,offset_to_bckgrd
1,141,4,4,distractor,1,green,29,2,CR,NaN,offset_to_bckgrd
